iter	Passed	Remaining
0	0	63
1	1	56
2	1	53
3	2	50
4	2	49
5	3	48
6	3	47
7	4	47
8	4	46
9	5	45
10	5	45
11	6	44
12	6	44
13	7	43
14	7	42
15	8	42
16	8	41
17	9	41
18	9	40
19	10	40
20	10	39
21	11	39
22	11	38
23	12	38
24	12	37
25	13	37
26	13	36
27	14	36
28	14	35
29	15	35
30	15	34
31	16	34
32	16	33
33	17	33
34	17	32
35	18	32
36	18	31
37	19	31
38	19	30
39	20	30
40	20	29
41	20	28
42	21	28
43	21	27
44	22	27
45	22	26
46	23	26
47	23	25
48	24	25
49	24	24
50	25	24
51	25	23
52	26	23
53	26	22
54	27	22
55	27	21
56	28	21
57	28	20
58	29	20
59	29	19
60	30	19
61	30	18
62	31	18
63	31	17
64	32	17
65	32	16
66	33	16
67	33	15
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	40	8
82	41	8
83	41	7
84	42	7
85	42	6
86	43	6
87	43	5
88	44	5
89	44	4
90	45	4
91	45	3
92	46	3
93	46	2
94	47	2
95	47	1
96	48	1
97	48	0
98	48	0
99	49	0
